Hotel,Classificação,Suma,Avaliações,Preço
Hotel Bejense,"8,4",Ótimo,918 comentários,189
Aljana Guest House Beja,"9,3",Soberbo,192 comentários,330
BejaParque Hotel,"8,1",Alojamento do programa Viagens Sustentáveis,509 comentários,255
Pousada Convento de Beja,"8,7",Fabuloso,644 comentários,270
Guest House Stories,"8,7",Fabuloso,484 comentários,135
Hotel Melius,"8,1",Alojamento do programa Viagens Sustentáveis,656 comentários,242
Casa do Arco - Beja,"9,4",Soberbo,30 comentários,210
Barrote Beja- Alojamento Local,"9,7",Excecional,175 comentários,255
Maria`s Guesthouse,"9,4",Soberbo,43 comentários,226
Beja Garden,"8,0",Ótimo,440 comentários,90
HI Beja - Pousada de Juventude,"9,6",Excecional,12 comentários,327
Casa do Sembrano,"9,5",Excecional,30 comentários,330
Casa Idalina Villa in Beja's beautiful countryside,"9,4",Soberbo,206 comentários,210
Império Romano Guest House,"9,0",Soberbo,108 comentários,150
Monte das Beatas - Alojamento Local,"8,7",Fabuloso,35 comentários,306
Casa do Jardim,"8,8",Fabuloso,4 comentários,270
Casa das Histórias,"8,9",Fabuloso,75 comentários,195
Casa Centro Histórico Beja - Castelo,"7,9",Bom,68 comentários,180
Quinta do Castelo,"9,0",Soberbo,26 comentários,214
Casa do Avô Zé,"8,1",Ótimo,26 comentários,174
Suite na Praça da República,"8,7",Fabuloso,601 comentários,228
Herdade da Diabroria - Agroturismo,"8,8",Alojamento do programa Viagens Sustentáveis,333 comentários,285
Herdade do Vau,"7,8",Bom,78 comentários,270
Monte da Corte Ligeira,"8,3",Ótimo,372 comentários,150
