Expressao, Frequencia
"bonita e tipica", 0.01859446618045681
"restaurante muito bonita", 0.027581485432184485
"Sala", 0.11142476118001256
"tipica", 0.11142476118001256
"Comida em doses", 0.14005713113751553
"preco justo", 0.14005713113751553
"mote", 0.16383273847958243
"restaurante", 0.16383273847958243
"bonita", 0.16383273847958243
"fregues"mais novo excepcional", 0.17743606560321915
"doses generosas", 0.19613242932716538
"Deixo para ultimo", 0.23956129807083346
"explicacao dos pratos", 0.23956129807083346
"dificilmente poderei encontrar", 0.24520184199071754
"poderei encontrar melhor", 0.24520184199071754
"Comida", 0.3033846052649951
"justo", 0.3033846052649951
"ultimo o atendimento", 0.3295258815075752
"atendimento que dificilmente", 0.3295258815075752
"dificilmente poderei", 0.3295258815075752
"Restaurante de ambiente", 0.019069698839249336
"ambiente familiar", 0.019069698839249336
"Restaurante", 0.12490598370792787
"familiar", 0.12490598370792787
"bifinhos com molho", 0.13753350017317625
"ambiente", 0.1498154841094176
"molho", 0.22068779866918653
"bifinhos", 0.2443808502048943
"Nao reservamos", 0.24637143702872857
"escolha da mesa", 0.24637143702872857
"espargos", 0.25325760467972985
"Comida tipicamente alentejana", 0.25963526237120205
"opcao de escolha", 0.2856485273600277
"tipicamente alentejana cozinhada", 0.304981839295923
"molho de cocktail", 0.3162512841301354
"Comida tipicamente", 0.32479286547897324
"recebidos", 0.33142824726726083
"molho de salsa", 0.3569227386273647
"tipicamente alentejana", 0.374844289828191
"alentejana cozinhada", 0.374844289828191
"central de Safara", 0.01578097775444289
"localizacao excelente", 0.024841969716198176
"interior do alentejo", 0.05266726233464879
"alentejo numa zona", 0.05266726233464879
"zona central", 0.05266726233464879
"Safara", 0.06945588001545573
"localizacao", 0.1556913780826129
"excelente", 0.1556913780826129
"wcs recentes", 0.17982554165337955
"interior", 0.2236787946260405
"alentejo", 0.2236787946260405
"zona", 0.2236787946260405
"central", 0.2236787946260405
"condicoes e limpas", 0.24265240562250057
"agradavel", 0.24493617016750216
"Pratos", 0.3292453640067486
"instalacoes estao", 0.3336367108774239
"limpas", 0.3904062769555792
"wcs", 0.3904062769555792
"recentes", 0.3904062769555792
"Recomendo vivamente", 0.005484890844946624
"Especialmente o gaspacho", 0.009108237309423345
"gaspacho maravilhoso", 0.015380821171891606
"Safara", 0.057012387690331526
"Especialmente", 0.057012387690331526
"Recomendo", 0.057012387690331526
"adorei", 0.09568045026443411
"maravilhoso", 0.09568045026443411
"voltar", 0.09568045026443411
"vivamente", 0.09568045026443411
"gaspacho", 0.15831692877998726
"Optima refeicao", 0.01911893411113409
"confeccao esmerada", 0.01911893411113409
"ambiente familiar", 0.01911893411113409
"Optima", 0.13696809108329627
"refeicao", 0.13696809108329627
"produtos", 0.13696809108329627
"confeccao", 0.13696809108329627
"esmerada", 0.13696809108329627
"ambiente", 0.13696809108329627
"familiar", 0.13696809108329627
"Atendimento rapido", 0.21339268578732606
"rapido e simpatico", 0.21339268578732606
