sentiment,review
positive,"Visitei o restaurante pela primeira vez com a minha familia e devo dizer que recomendo a 100%. O atendimento e excelente, a comida e melhor ainda, no meu caso que levei uma pessoa de idade que adorou o frango, todo o ambiente e casual e familiar, as sobremesas sao super caseiras e recomendo o cheesecake e o leite creme. E otimo para um ambiente com amigos, de facto um restaurante para voltar."
positive,"Frango top, excelente molho bom ambiente. Local a visitar em beja. Boa relacao qualidafe preco. Recomendo"
positive,"Otimo atendimento!! Comida com qualidade, ambiente muito agradavel! Com direito a miminho especial  muito satisfeitos e com certeza e para voltar."
positive,"Tive a oportunidade de visitar este local a conselho de um amigo e fiquei extremamente agradado com tudo!  A comida com variados pratos tipicos, carnes e peixes de optima qualidade e cozinhados e apresentados de maneira original e de fazer crescer agua na boca. O servico e outro dos pontos fortes, tive o prazer de ser servido pelo Sr. Ze, que profissionalismo e simpatia, extraordinario! Ate breve e obrigado! Recomendo vivamente! Visitem!!!"
positive,"Simpatia, precos acessiveis e refeicoes bastante agradaveis. Almocamos na passagem por Beja e recomendamos"
positive,Excelente atendimento e comida . Espaco extremamente agradavel com musica calma de fundo. Sem duvida um sitio a repetir em beja!
positive,"Comida saborosa, staff simpatico, espaco agradavel! A voltar certamente! E para a proxima para provar o leite creme!"
positive,"Comida boa, bom ambiente e otimo servico! Recomendo vivamente que visitem este espaco. Ideal para jantar com amigos"
positive,O atendimento e excelente desde a simpatia dos empregados ate as refeicoes super bem servidas a condizer com uma optima relacao qualidade/preco. Recomendo vivamente.
positive,"Excelente qualidade na comida, otima apresentacao do espaco e ambiente acolhedor. Staff muito simpatico e disponivel"
positive,"Nada como um bom jantar apos um dia de trabalho complicado... Staff super atencioso, comida maravilhosa....um bom sitio para jantar ou almocar ... Ps: uma agradecimento a tatiana por esta sobermesa personalizada"
positive,"Estavamos de passagem e adoramos este restaurante. Comida muito boa, precos acessiveis, bom espaco e de salientar a simpatia dos empregados e muito profissionais. Voltaremos com toda a certeza."
positive,"Espaco muito agradavel, bom atendimento e optima comida. Facil acesso e muito estacionamento junto ao restaurante."
positive,"Excelente,bom atendimento, boa comida,restaurante a visitar para quem passa por Beja,precos acessiveis enfim tudo o que faz falta"
positive,tudo excelente. optima comida ( uma picanha tenrinha)e optimo servico( toda a equipa muito atenciosa). recomenda-se.
positive,"Primeiro: o nome engana. Depois, o que interessa: excelentes entradas, um arroz a bulhao pato fantastico e umas entradas inesqueciveis. Ponto de paragem recomendado para quem sai de Lisboa para o sotavento algarvio. Vale a pena o desvio."
positive,"Comida muito boa e staff muito simpatico! A repetir, sem duvida. Eramos um grupo grande e o servico foi impecavel. Vinho 5 estrelas."
